,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,A,B,C,C,D,D,B,D,A,D,D,B,D,C,A,B,C,B,D,C,C,D,B,C,B,A,D
2,C,A,C,C,B,D,A,B,B,A,D,B,C,B,D,A,C,A,D,A,C,D,A,C,D,B,D
3,C,B,C,C,A,C,D,D,B,D,D,B,C,A,A,D,C,C,A,B,B,A,A,C,A,B,D
4,A,A,C,C,A,B,A,B,B,A,D,B,B,D,A,C,C,C,D,D,C,D,A,C,B,B,D
5,C,A,C,C,A,B,A,B,B,A,D,C,B,C,D,A,C,C,D,D,C,D,A,C,B,B,D
6,C,A,B,A,C,D,B,A,D,A,D,B,D,C,D,C,C,C,A,D,C,D,E,C,C,B,D
7,C,A,D,D,B,B,D,D,D,A,D,D,C,D,A,B,C,C,D,C,A,D,A,C,B,C,D
8,A,A,A,A,A,D,B,A,B,C,D,C,C,B,D,B,C,C,D,B,D,A,A,B,C,B,D
9,C,A,B,D,C,B,B,A,B,C,D,C,C,B,D,D,C,C,D,C,A,D,E,C,A,B,D
10,A,A,C,C,A,B,A,B,C,A,D,B,B,C,A,B,C,C,D,D,C,D,A,C,C,A,D
11,A,A,C,C,A,B,A,A,B,A,B,C,C,B,D,D,C,D,D,D,C,D,A,C,B,A,D
12,C,B,A,A,D,D,D,A,D,A,A,B,D,A,D,D,C,C,C,A,D,D,D,A,D,D,A
13,C,A,D,C,D,B,B,B,D,C,D,C,C,B,D,D,C,C,D,B,A,D,D,C,A,D,B
14,C,A,C,C,A,B,A,B,B,A,D,C,B,B,D,A,C,C,A,D,A,D,A,C,A,B,D
15,A,A,C,C,D,D,D,D,B,D,D,C,D,D,D,D,C,B,D,B,D,D,A,C,D,B,B
16,C,A,C,A,A,B,B,A,B,D,D,B,A,D,D,D,D,C,D,D,C,C,C,C,D,A,B
17,C,B,C,A,A,B,D,A,B,D,D,B,A,D,A,C,C,C,D,D,D,D,D,C,D,A,D
18,D,D,C,A,D,B,D,D,D,A,D,B,B,D,D,D,C,C,D,B,D,D,A,C,D,B,D
19,A,B,C,C,A,D,D,B,D,A,D,B,C,D,D,C,A,C,D,A,D,B,C,D,D,D,B
20,D,B,B,D,A,B,B,B,D,C,D,B,C,B,D,C,C,C,D,B,A,D,D,D,C,A,B
21,C,A,C,A,A,B,D,B,B,A,D,D,C,B,A,B,D,C,D,D,D,D,D,D,D,D,C
22,A,B,C,A,D,D,A,B,B,B,D,B,B,C,D,D,C,C,D,B,D,C,E,C,A,B,B
23,A,D,C,D,B,D,D,D,D,A,D,B,B,D,D,D,C,C,D,D,D,D,D,C,D,D,B
24,C,B,C,A,C,B,D,D,D,C,D,B,B,D,D,A,C,A,A,A,D,D,A,C,D,C,B
25,D,B,B,A,C,C,A,D,D,B,A,C,C,C,A,D,C,B,D,B,D,A,E,C,A,B,B
26,C,B,C,A,A,B,D,D,B,D,D,A,A,C,A,A,C,C,D,D,C,C,D,C,D,D,C
27,A,B,C,C,A,D,D,B,D,C,D,B,C,D,D,C,C,B,D,D,C,D,C,C,B,B,B
28,D,C,D,C,D,B,A,D,D,A,D,C,A,A,D,A,C,C,A,D,A,A,B,C,D,B,B
29,D,A,C,C,D,B,A,D,D,C,D,D,C,D,D,A,C,C,C,D,D,D,C,C,C,C,B
30,C,A,C,A,C,B,B,D,A,B,D,C,D,B,D,D,D,C,C,D,D,B,B,C,D,B,C
31,C,C,C,A,C,B,A,C,C,D,C,C,A,A,D,D,C,C,D,A,D,C,E,C,C,D,D
32,A,B,C,A,D,D,A,D,D,B,D,B,C,C,D,D,C,D,A,D,C,D,D,D,D,D,D
33,C,B,C,A,C,D,D,B,B,D,C,D,D,D,A,B,C,C,D,B,D,C,A,D,D,D,D
34,C,A,C,A,A,B,C,D,B,A,D,B,B,B,D,B,C,C,A,A,A,D,B,C,A,C,D
35,C,A,C,A,C,B,D,D,B,A,D,B,D,B,A,B,C,C,D,D,A,D,A,C,D,B,D
36,C,A,C,A,A,B,A,D,B,A,D,B,B,A,D,B,C,C,D,D,A,D,A,C,D,B,D
37,C,A,C,A,C,D,D,B,D,D,D,C,C,A,D,B,A,C,D,D,B,D,C,B,A,B,D
38,C,D,C,D,A,B,D,A,B,A,C,B,A,C,D,A,C,C,D,A,A,D,D,A,D,B,B
39,B,B,B,B,C,A,D,C,B,D,D,B,A,A,D,A,C,B,D,D,B,D,C,C,C,B,D
40,B,A,C,C,B,D,A,B,D,B,B,C,C,A,A,B,C,C,A,D,B,C,B,D,B,B,B
41,B,A,C,C,A,B,A,B,B,A,D,D,D,B,D,C,C,A,D,D,C,B,A,C,A,B,D
42,C,A,C,A,A,D,D,B,A,B,B,B,C,B,D,B,C,B,A,B,A,C,A,C,A,B,D
43,C,C,A,A,C,B,A,A,D,C,D,B,C,B,D,D,C,A,D,C,C,D,D,D,D,B,A
44,C,A,A,C,B,B,B,D,C,C,D,D,C,D,A,D,C,C,D,A,B,D,C,C,A,A,D
45,C,D,C,A,D,B,A,C,D,A,D,B,B,C,D,B,C,C,D,A,A,D,D,A,D,C,D
46,A,A,C,B,C,D,A,B,B,A,D,C,C,B,D,C,C,C,C,B,B,B,C,D,C,B,A
47,C,C,A,D,C,B,D,D,D,D,D,B,D,A,C,B,C,B,A,D,B,D,D,C,A,C,D
48,D,D,A,D,B,D,D,D,D,D,D,B,C,D,D,C,C,C,D,A,D,D,B,C,B,A,B
49,C,C,B,A,B,B,A,B,D,C,D,B,A,D,D,D,A,B,A,D,D,A,C,C,D,B,C
50,A,A,C,C,D,D,C,D,B,B,C,C,B,A,D,C,C,C,D,A,A,D,D,B,B,B,B
