CINSIYET,IL,PUAN
KIZ,Istanbul,480
KIZ,Istanbul,458
KIZ,Istanbul,456
KIZ,Istanbul,477
KIZ,Istanbul,470
KIZ,Istanbul,518
KIZ,Istanbul,505
KIZ,Istanbul,482
KIZ,Istanbul,489
KIZ,Istanbul,517
KIZ,Istanbul,482
KIZ,Istanbul,486
KIZ,Istanbul,509
KIZ,Istanbul,517
KIZ,Istanbul,481
KIZ,Istanbul,498
KIZ,Istanbul,471
KIZ,Istanbul,477
KIZ,Istanbul,444
KIZ,Istanbul,488
KIZ,Istanbul,489
KIZ,Istanbul,467
KIZ,Istanbul,462
KIZ,Istanbul,460
KIZ,Istanbul,506
KIZ,Istanbul,453
KIZ,Istanbul,423
KIZ,Istanbul,463
KIZ,Istanbul,453
KIZ,Istanbul,453
KIZ,Istanbul,451
KIZ,Istanbul,453
KIZ,Istanbul,431
KIZ,Istanbul,484
ERKEK,Istanbul,529
ERKEK,Istanbul,529
ERKEK,Istanbul,502
ERKEK,Istanbul,499
ERKEK,Istanbul,460
ERKEK,Istanbul,529
ERKEK,Istanbul,529
ERKEK,Istanbul,433
ERKEK,Istanbul,430
ERKEK,Istanbul,460
ERKEK,Istanbul,402
ERKEK,Istanbul,440
ERKEK,Istanbul,440
ERKEK,Istanbul,439
ERKEK,Istanbul,454
ERKEK,Istanbul,438
ERKEK,Istanbul,439
ERKEK,Istanbul,439
ERKEK,Istanbul,439
ERKEK,Istanbul,439
ERKEK,Istanbul,650
ERKEK,Istanbul,476
ERKEK,Istanbul,473
ERKEK,Istanbul,473
ERKEK,Istanbul,473
ERKEK,Istanbul,519
ERKEK,Istanbul,473
ERKEK,Istanbul,496
ERKEK,Istanbul,507
ERKEK,Istanbul,513
ERKEK,Istanbul,511
ERKEK,Istanbul,511
ERKEK,Istanbul,511
ERKEK,Istanbul,511
ERKEK,Istanbul,517
ERKEK,Istanbul,535
KIZ,Ankara,407
KIZ,Ankara,415
KIZ,Ankara,405
KIZ,Ankara,431
KIZ,Ankara,427
KIZ,Ankara,500
KIZ,Ankara,490
KIZ,Ankara,494
KIZ,Ankara,494
KIZ,Ankara,494
KIZ,Ankara,483
KIZ,Ankara,494
KIZ,Ankara,489
KIZ,Ankara,505
ERKEK,Ankara,610
ERKEK,Ankara,497
ERKEK,Ankara,519
ERKEK,Ankara,501
ERKEK,Ankara,457
ERKEK,Ankara,431
ERKEK,Ankara,457
ERKEK,Ankara,429
ERKEK,Ankara,417
ERKEK,Ankara,457
ERKEK,Ankara,429
ERKEK,Ankara,429
ERKEK,Ankara,429
ERKEK,Ankara,442
ERKEK,Ankara,457
ERKEK,Ankara,431
ERKEK,Ankara,470
ERKEK,Ankara,423
ERKEK,Ankara,444
ERKEK,Ankara,443
KIZ,Izmir,692
KIZ,Izmir,709
KIZ,Izmir,738
KIZ,Izmir,718
KIZ,Izmir,726
KIZ,Izmir,547
KIZ,Izmir,554
KIZ,Izmir,546
KIZ,Izmir,533
KIZ,Izmir,508
KIZ,Izmir,554
KIZ,Izmir,554
ERKEK,Izmir,554
ERKEK,Izmir,575
ERKEK,Izmir,550
ERKEK,Izmir,582
ERKEK,Izmir,582
ERKEK,Izmir,513
ERKEK,Izmir,554
ERKEK,Izmir,582
ERKEK,Izmir,582
ERKEK,Izmir,640
ERKEK,Izmir,652
ERKEK,Izmir,617
ERKEK,Izmir,654
ERKEK,Izmir,645
ERKEK,Izmir,575
ERKEK,Izmir,564
ERKEK,Izmir,554
ERKEK,Izmir,563
ERKEK,Izmir,583
