Madde Sayisi,Boyutlararasi_Kor,Kalibrasyon,Yontem_1,Yontem_2,Yontem_3,Yontem_4
10 Madde,r=0.2,BAEM,0.009,0.014,0.015,0.016
10 Madde,r=0.2,MHRM,0.013,0.019,0.022,0.024
10 Madde,r=0.2,Tekboyutlu,0.009,0.015,0.018,0.019
10 Madde,r=0.5,BAEM,0.009,0.014,0.017,0.02
10 Madde,r=0.5,MHRM,0.013,0.02,0.024,0.026
10 Madde,r=0.5,Tekboyutlu,0.009,0.014,0.018,0.022
10 Madde,r=0.8,BAEM,0.01,0.012,0.016,0.019
10 Madde,r=0.8,MHRM,0.014,0.017,0.021,0.023
10 Madde,r=0.8,Tekboyutlu,0.01,0.014,0.018,0.02
15 Madde,r=0.2,BAEM,0.007,0.012,0.015,0.017
15 Madde,r=0.2,MHRM,0.011,0.017,0.019,0.02
15 Madde,r=0.2,Tekboyutlu,0.007,0.012,0.014,0.015
15 Madde,r=0.5,BAEM,0.007,0.012,0.017,0.018
15 Madde,r=0.5,MHRM,0.011,0.017,0.019,0.022
15 Madde,r=0.5,Tekboyutlu,0.008,0.012,0.014,0.016
15 Madde,r=0.8,BAEM,0.007,0.01,0.013,0.016
15 Madde,r=0.8,MHRM,0.011,0.015,0.018,0.019
15 Madde,r=0.8,Tekboyutlu,0.008,0.012,0.016,0.017
